OLIVER -
HARRY -
JACK -
GEORGE Up 1
NOAH Up 2
CHARLIE Down 2
JACOB Down 1
ALFIE -
FREDDIE Up 1
OSCAR Down 1
LEO Up 1
LOGAN Up 7
ARCHIE Up 4
THEO Up 7
THOMAS Down 2
JAMES Down 5
JOSHUA Down 3
HENRY Down 2
WILLIAM Down 4
MAX Down 2
LUCAS Up 2
ETHAN Down 2
ARTHUR Up 8
MASON Down 2
ISAAC -
HARRISON Down 2
TEDDY Up 6
FINLEY -
DANIEL Down 2
RILEY -
EDWARD Up 1
JOSEPH Down 6
ALEXANDER Down 4
ADAM Up 3
REGGIE Up 11
SAMUEL -
JAXON Up 6
SEBASTIAN Up 3
ELIJAH Up 6
HARLEY Up 8
TOBY Down 2
ARLO Up 18
DYLAN Down 9
JUDE Up 8
BENJAMIN Down 7
RORY Up 19
TOMMY Down 7
JAKE Down 13
LOUIE Down 5
CARTER Up 17
JENSON Down 1
HUGO Up 10
BOBBY Up 21
FRANKIE Up 4
OLLIE Down 13
ZACHARY Down 7
DAVID Down 2
ALBIE Up 21
LEWIS Down 3
LUCA Down 1
RONNIE  Up 8
JACKSON Down 15
MATTHEW Down 9
ALEX Down 3
HARVEY Down 12
REUBEN Down 2
JAYDEN Down 16
CALEB Up 2
HUNTER Up 33
THEODORE Up 23
NATHAN Down 5
BLAKE Down 9
LUKE Down 16
ELLIOT Down 2
ROMAN Up 15
STANLEY Down 8
DEXTER =
MICHAEL Down 3
ELLIOTT Up 3
TYLER Down 9
RYAN Down 8
ELLIS Up 3
FINN Down 2
ALBERT Up 10
KAI Down 7
LIAM Up 5
CALLUM -
LOUIS Down 12
AARON Down 6
EZRA Up 8
LEON Down 3
CONNOR Down 6
GRAYSON Up 37
JAMIE Down 10
AIDEN Down 6
GABRIEL Down 4
AUSTIN Down 17
LINCOLN Up 24
ELI Up 5
BEN Down 4

OLIVIA -
AMELIA -
ISLA Up 1
EMILY Down 1
AVA -
LILY Up 1
MIA Up 5
SOPHIA Down 2
ISABELLA Up 6
GRACE -
POPPY Up 2
ELLA Down 4
EVIE Down 2
CHARLOTTE Up 2
JESSICA Down 6
DAISY Up 3
SOPHIE Down 3
FREYA Down 1
ALICE Up 1
SIENNA Up 4
IVY Up 14
HARPER Up 17
RUBY Down 5
ISABELLE Down 2
WILLOW Up 8
PHOEBE Down 1
EVELYN Up 2
SCARLETT Down 7
CHLOE Down 6
FLORENCE Down 3
ELSIE Up 5
MILLIE Down 2
LAYLA Down 1
MATILDA Down 3
ROSIE Up 2
ESME Down 10
EVA Down 9
LUCY Down 4
ARIA Up 6
ELLIE Down 2
SOFIA Up 2
MAISIE Up 7
ERIN Down 2
LOLA Down 4
LILLY Up 2
THEA Up 2
IMOGEN Down 5
ELIZA Up 3
BELLA Up 6
MOLLY -
HANNAH Down 5
EMMA -
VIOLET Up 4
LUNA Up 31
AMBER Down 2
LOTTIE Up 13
DARCIE Up 6
MAYA -
GEORGIA Down 5
ELIZABETH Down 4
ZARA Up 15
PENELOPE Up 5
HOLLY Down 19
NANCY Down 2
ROSE Down 6
EMILIA Up 4
HARRIET Down 2
GRACIE Down 7
DARCY Up 8
MILA Up 9
ORLA Up 18
ABIGAIL Down 12
JASMINE Down 7
ELEANOR Up 1
ANNA Down 11
SUMMER Down 8
ROBYN Up 6
LEXI Down 6
HEIDI Down 8
ANNABELLE Down 7
MARIA Up 9
AURORA Up 35
LEAH Up 4
DARCEY Down 2
VICTORIA Up 11
HALLIE Up 44
MARTHA Up 4
AMELIE Down 14
KATIE Down 1
BONNIE Up 17
ARABELLA Up 8
LACEY Down 14
ANNIE -
NIAMH -
LYLA -
IRIS Up 6
ZOE Down 11
CLARA Up 10
MADDISON Down 15
MEGAN Down 19
